Proveitos Globais | NUTS II;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;;Acumulado;
;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018
Hotéis;2 632 604;2 770 875;2 950 235;3 545 980;3 521 499;4 378 860;5 466 280;5 147 686;5 540 777;6 400 301;6 061 122;6 523 141;7 127 829;7 423 551;9 323 340;9 179 737;7 768 746;;6 221 861;;3 856 153;;4 681 998;;65 152 444;45 370 131
5*;451 290;592 784;577 763;644 821;698 567;745 152;1 312 959;1 210 355;1 258 502;1 519 637;1 429 151;1 520 190;1 759 700;1 979 942;2 207 910;2 251 366;2 009 484;;1 623 145;;777 429;;1 156 392;;15 262 292;10 464 247
4*;1 354 003;1 326 532;1 462 043;1 853 739;1 706 104;2 369 397;2 612 882;2 515 860;2 625 100;3 082 784;2 865 822;3 194 453;3 303 922;3 542 011;4 619 266;4 410 210;3 656 488;;2 881 793;;1 874 910;;2 316 341;;31 278 674;22 294 986
3*;570 927;621 868;631 539;741 424;792 235;914 210;1 060 353;973 400;1 147 596;1 206 937;1 271 150;1 268 494;1 456 885;1 279 602;1 781 148;1 734 899;1 487 045;;1 215 030;;852 260;;877 127;;13 143 295;8 740 834
2* e 1*;256 384;229 691;278 890;305 996;324 593;350 101;480 086;448 071;509 579;590 943;494 999;540 004;607 322;621 996;715 016;783 262;615 729;;501 893;;351 554;;332 138;;5 468 183;3 870 064
Hotéis-Apartamentos;589 176;658 580;541 149;385 812;348 138;638 865;1 215 203;817 703;1 192 404;1 624 520;1 980 937;2 038 896;2 992 212;3 160 151;4 190 686;4 373 684;2 291 726;;1 065 357;;488 925;;354 691;;17 250 604;13 698 211
Pousadas;313 314;338 771;349 234;428 044;495 899;586 040;796 468;712 361;818 152;905 876;780 719;828 984;835 988;931 673;1 195 987;1 128 614;1 099 004;;846 419;;517 350;;621 966;;8 670 500;5 860 363
Aldeamentos Turísticos;16 629;69 265;64 002;87 770;85 121;102 527;197 619;128 591;125 429;207 952;274 741;471 774;467 577;839 584;907 165;1 196 160;210 703;;141 098;;71 487;;117 151;;2 678 722;3 103 623
Apartamentos Turísticos;72 942;66 148;102 738;89 159;143 192;122 571;248 240;172 622;166 856;220 090;378 908;401 856;889 602;949 169;1 267 865;1 329 358;507 826;;203 438;;83 370;;100 699;;4 165 676;3 350 973
Outros;144 042;163 245;177 129;138 876;150 560;115 748;275 732;156 630;243 488;199 924;300 113;203 068;414 544;338 258;574 774;431 711;358 842;;268 599;;187 155;;162 777;;3 257 755;1 747 460
